target;description
0;"<p><strong>New York &mdash; Le gouvernement am&eacute;ricain a command&eacute; au laboratoire <a href=""/tag/pfizer/458"" target=""_blank"">Pfizer</a> 10&nbsp;millions de traitements de sa pilule contre ..."
0;"<p><strong><em>RH&eacute;veil-matin est une rubrique quotidienne o&ugrave; l'on pr&eacute;sente aux gestionnaires et &agrave; leurs employ&eacute;s des solutions inspirantes pour bien commencer leur ..."
0;"<p><strong>Les Canadiens manquent de confiance en eux en ce qui a trait &agrave; leurs connaissances financi&egrave;res, mais plusieurs d&rsquo;entre eux sous-estiment ce qu&rsquo;ils savent ..."
0;"<p><strong>Londres &mdash; Le fabricant de m&eacute;dicaments Pfizer a sign&eacute; un accord avec un groupe soutenu par l&rsquo;ONU pour permettre &agrave; d&rsquo;autres fabricants de fabriquer son ..."
0;"<p><strong><em><strong><em>&Agrave; chaque &eacute;pisode de la balado Se tirer d&rsquo;affaires,&nbsp;</em></strong>Les Affaires r&eacute;pond en moins de 10 minutes &agrave; de vraies questions que ..."
0;"<p><strong>Ottawa &mdash; Les employ&eacute;s du secteur public f&eacute;d&eacute;ral qui n&rsquo;ont pas &eacute;t&eacute; compl&egrave;tement vaccin&eacute;s contre la COVID-19 seront mis en ..."
0;"<p><strong>Les travailleurs de la sant&eacute; qui refusent d&rsquo;&ecirc;tre vaccin&eacute;s n&rsquo;auraient pas eu de sursis de la Cour sup&eacute;rieure si le gouvernement n&rsquo;avait pas ..."
0;"<p><strong>Edmonton &mdash; Les r&eacute;sidants de l&rsquo;Alberta auront d&eacute;sormais besoin de plus qu&rsquo;une preuve papier d&rsquo;une clinique de vaccination contre la COVID-19 ..."
0;"<p><strong>Le maire sortant de Qu&eacute;bec, R&eacute;gis Labeaume, demande au premier ministre Fran&ccedil;ois Legault de reconsid&eacute;rer la construction d&rsquo;un troisi&egrave;me lien ..."
0;"<p><strong>Ottawa &mdash; Sant&eacute; Canada autorise l&rsquo;emploi du vaccin de Moderna pour la dose de rappel.</strong></p>
<p>Le minist&egrave;re f&eacute;d&eacute;ral avait fait la m&ecirc;me ..."
0;"<p><strong><em>RH&eacute;veil-matin est une rubrique quotidienne o&ugrave; l'on pr&eacute;sente aux gestionnaires et &agrave; leurs employ&eacute;s des solutions inspirantes pour bien commencer leur ..."
0;"<p><a href=""/dossier/comptables-et-litteratie-financiere"" target=""_blank"">COMPTABLES ET LITT&Eacute;RATIE FINANCI&Egrave;RE.</a>&nbsp;Au Canada comme au Qu&eacute;bec, les CPA se montrent tr&egrave;s ..."
0;"<p><a href=""/dossier/comptables-et-litteratie-financiere"" target=""_blank"">COMPTABLE ET LITT&Eacute;RATIE FINANCI&Egrave;RE.</a> Apr&egrave;s une carri&egrave;re de plus de 25 ans aupr&egrave;s du ..."
0;"<p><a href=""/dossier/comptables-et-litteratie-financiere"" target=""_blank"">COMPTABLE ET LITT&Eacute;RATIE FINANCI&Egrave;RE.</a> Le 9 juin dernier, le gouvernement du Qu&eacute;bec a ..."
